Country,Code,Year_current,Year_last_recorded,Decade,Value
Afghanistan,AFG,2022,4000,Endemic,2030
Albania,ALB,2022,1978,1970s,1970
Algeria,DZA,2022,1996,1990s,1990
American Samoa,ASM,2022,1950,1950s,1950
Andorra,AND,2022,1959,1950s,1950
Angola,AGO,2022,2001,2000s,2000
Anguilla,AIA,2022,1962,1960s,1960
Antigua and Barbuda,ATG,2022,1965,1960s,1960
Argentina,ARG,2022,1984,1980s,1980
Armenia,ARM,2022,1995,1990s,1990
Australia,AUS,2022,1972,1970s,1970
Austria,AUT,2022,1980,1980s,1980
Azerbaijan,AZE,2022,1995,1990s,1990
Bahamas,BHS,2022,1967,1960s,1960
Bahrain,BHR,2022,1993,1990s,1990
Bangladesh,BGD,2022,2000,2000s,2000
Barbados,BRB,2022,1967,1960s,1960
Belarus,BLR,2022,1994,1990s,1990
Belgium,BEL,2022,1979,1970s,1970
Belize,BLZ,2022,1981,1980s,1980
Benin,BEN,2022,2000,2000s,2000
Bhutan,BTN,2022,1986,1980s,1980
Bolivia,BOL,2022,1989,1980s,1980
Bosnia and Herzegovina,BIH,2022,1993,1990s,1990
Botswana,BWA,2022,1989,1980s,1980
Brazil,BRA,2022,1989,1980s,1980
Brunei,BRN,2022,1978,1970s,1970
Bulgaria,BGR,2022,1982,1980s,1980
Burkina Faso,BFA,2022,2000,2000s,2000
Burundi,BDI,2022,1999,1990s,1990
Cambodia,KHM,2022,1997,1990s,1990
Cameroon,CMR,2022,1999,1990s,1990
Canada,CAN,2022,1979,1970s,1970
Cape Verde,CPV,2022,1988,1980s,1980
Cayman Islands,CYM,2022,1958,1950s,1950
Central African Republic,CAF,2022,2000,2000s,2000
Chad,TCD,2022,2000,2000s,2000
Chile,CHL,2022,1975,1970s,1970
China,CHN,2022,1994,1990s,1990
Colombia,COL,2022,1991,1990s,1990
Comoros,COM,2022,1983,1980s,1980
Congo,COG,2022,2000,2000s,2000
Cook Islands,COK,2022,1959,1950s,1950
Costa Rica,CRI,2022,1972,1970s,1970
Cote d'Ivoire,CIV,2022,2000,2000s,2000
Croatia,HRV,2022,1990,1990s,1990
Cuba,CUB,2022,1962,1960s,1960
Cyprus,CYP,2022,1995,1990s,1990
Czechia,CZE,2022,1960,1960s,1960
Democratic Republic of Congo,COD,2022,2000,2000s,2000
Denmark,DNK,2022,1976,1970s,1970
Djibouti,DJI,2022,1999,1990s,1990
Dominica,DMA,2022,1980,1980s,1980
Dominican Republic,DOM,2022,1985,1980s,1980
East Timor,TLS,2022,1985,1980s,1980
Ecuador,ECU,2022,1990,1990s,1990
Egypt,EGY,2022,2004,2000s,2000
El Salvador,SLV,2022,1987,1980s,1980
Equatorial Guinea,GNQ,2022,1992,1990s,1990
Eritrea,ERI,2022,1992,1990s,1990
Estonia,EST,2022,1961,1960s,1960
Eswatini,SWZ,2022,1989,1980s,1980
Ethiopia,ETH,2022,2001,2000s,2000
Fiji,FJI,2022,1962,1960s,1960
Finland,FIN,2022,1963,1960s,1960
France,FRA,2022,1989,1980s,1980
French Guiana,GUF,2022,1983,1980s,1980
French Polynesia,PYF,2022,1982,1980s,1980
Gabon,GAB,2022,1996,1990s,1990
Gambia,GMB,2022,1997,1990s,1990
Georgia,GEO,2022,1991,1990s,1990
Germany,DEU,2022,1990,1990s,1990
Ghana,GHA,2022,2000,2000s,2000
Greece,GRC,2022,1982,1980s,1980
Grenada,GRD,2022,1970,1970s,1970
Guam,GUM,2022,1964,1960s,1960
Guatemala,GTM,2022,1990,1990s,1990
Guinea,GIN,2022,1999,1990s,1990
Guinea-Bissau,GNB,2022,1999,1990s,1990
Guyana,GUY,2022,1962,1960s,1960
Haiti,HTI,2022,1989,1980s,1980
Honduras,HND,2022,1989,1980s,1980
Hong Kong,HKG,2022,1983,1980s,1980
Hungary,HUN,2022,1969,1960s,1960
Iceland,ISL,2022,1960,1960s,1960
India,IND,2022,2011,2010s,2010
Indonesia,IDN,2022,1995,1990s,1990
Iran,IRN,2022,1997,1990s,1990
Iraq,IRQ,2022,2000,2000s,2000
Ireland,IRL,2022,1965,1960s,1960
Israel,ISR,2022,1988,1980s,1980
Italy,ITA,2022,1982,1980s,1980
Jamaica,JAM,2022,1982,1980s,1980
Japan,JPN,2022,1980,1980s,1980
Jordan,JOR,2022,1988,1980s,1980
Kazakhstan,KAZ,2022,1995,1990s,1990
Kenya,KEN,2022,1988,1980s,1980
Kuwait,KWT,2022,1985,1980s,1980
Kyrgyzstan,KGZ,2022,1992,1990s,1990
Laos,LAO,2022,1996,1990s,1990
Latvia,LVA,2022,1992,1990s,1990
Lebanon,LBN,2022,1994,1990s,1990
Lesotho,LSO,2022,1987,1980s,1980
Liberia,LBR,2022,1999,1990s,1990
Libya,LBY,2022,1991,1990s,1990
Lithuania,LTU,2022,1971,1970s,1970
Luxembourg,LUX,2022,1963,1960s,1960
Macao,MAC,2022,1975,1970s,1970
Madagascar,MDG,2022,1997,1990s,1990
Malawi,MWI,2022,3000,Endemic,2030
Malaysia,MYS,2022,1986,1980s,1980
Maldives,MDV,2022,1980,1980s,1980
Mali,MLI,2022,1999,1990s,1990
Malta,MLT,2022,1964,1960s,1960
Marshall Islands,MHL,2022,1976,1970s,1970
Mauritania,MRT,2022,1999,1990s,1990
Mauritius,MUS,2022,1980,1980s,1980
Mexico,MEX,2022,1990,1990s,1990
Micronesia (country),FSM,2022,1970,1970s,1970
Moldova,MDA,2022,1996,1990s,1990
Monaco,MCO,2022,1964,1960s,1960
Mongolia,MNG,2022,1993,1990s,1990
Montserrat,MSR,2022,1976,1970s,1970
Morocco,MAR,2022,1989,1980s,1980
Mozambique,MOZ,2022,3000,Endemic,2030
Myanmar,MMR,2022,1996,1990s,1990
Namibia,NAM,2022,1995,1990s,1990
Nauru,NRU,2022,1910,1950s,1950
Nepal,NPL,2022,2000,2000s,2000
Netherlands,NLD,2022,1960,1960s,1960
New Caledonia,NCL,2022,1982,1980s,1980
New Zealand,NZL,2022,1962,1960s,1960
Nicaragua,NIC,2022,1981,1980s,1980
Niger,NER,2022,2006,2000s,2000
Nigeria,NGA,2022,2016,2010s,2010
Niue,NIU,2022,1950,1950s,1950
North Korea,PRK,2022,1996,1990s,1990
North Macedonia,MKD,2022,1993,1990s,1990
Northern Mariana Islands,MNP,2022,1960,1960s,1960
Norway,NOR,2022,1969,1960s,1960
Oman,OMN,2022,1993,1990s,1990
Pakistan,PAK,2022,4000,Endemic,2030
Palau,PLW,2022,1940,1950s,1950
Palestine,PSE,2022,1988,1980s,1980
Panama,PAN,2022,1972,1970s,1970
Papua New Guinea,PNG,2022,1996,1990s,1990
Paraguay,PRY,2022,1985,1980s,1980
Peru,PER,2022,1991,1990s,1990
Philippines,PHL,2022,1993,1990s,1990
Poland,POL,2022,1984,1980s,1980
Portugal,PRT,2022,1986,1980s,1980
Puerto Rico,PRI,2022,1974,1970s,1970
Qatar,QAT,2022,1990,1990s,1990
Reunion,REU,2022,1979,1970s,1970
Romania,ROU,2022,1992,1990s,1990
Russia,RUS,2022,1996,1990s,1990
Rwanda,RWA,2022,1999,1990s,1990
Saint Kitts and Nevis,KNA,2022,1969,1960s,1960
Saint Lucia,LCA,2022,1970,1970s,1970
Saint Vincent and the Grenadines,VCT,2022,1977,1970s,1970
Samoa,WSM,2022,1950,1950s,1950
San Marino,SMR,2022,1982,1980s,1980
Sao Tome and Principe,STP,2022,1983,1980s,1980
Saudi Arabia,SAU,2022,1995,1990s,1990
Senegal,SEN,2022,1998,1990s,1990
Seychelles,SYC,2022,1980,1980s,1980
Sierra Leone,SLE,2022,1999,1990s,1990
Singapore,SGP,2022,1978,1970s,1970
Slovakia,SVK,2022,1960,1960s,1960
Slovenia,SVN,2022,1978,1970s,1970
Solomon Islands,SLB,2022,1972,1970s,1970
Somalia,SOM,2022,2013,2010s,2010
South Africa,ZAF,2022,1989,1980s,1980
South Korea,KOR,2022,1983,1980s,1980
South Sudan,SSD,2022,2004,2000s,2000
Spain,ESP,2022,1988,1980s,1980
Sri Lanka,LKA,2022,1993,1990s,1990
Sudan,SDN,2022,2004,2000s,2000
Suriname,SUR,2022,1982,1980s,1980
Sweden,SWE,2022,1977,1970s,1970
Switzerland,CHE,2022,1984,1980s,1980
Syria,SYR,2022,1998,1990s,1990
Tajikistan,TJK,2022,1997,1990s,1990
Tanzania,TZA,2022,1996,1990s,1990
Thailand,THA,2022,1997,1990s,1990
Togo,TGO,2022,1999,1990s,1990
Tokelau,TKL,2022,1950,1950s,1950
Tonga,TON,2022,1982,1980s,1980
Trinidad and Tobago,TTO,2022,1972,1970s,1970
Tunisia,TUN,2022,1994,1990s,1990
Turkey,TUR,2022,1998,1990s,1990
Turkmenistan,TKM,2022,1996,1990s,1990
Turks and Caicos Islands,TCA,2022,1977,1970s,1970
Tuvalu,TUV,2022,1936,1950s,1950
Uganda,UGA,2022,1996,1990s,1990
Ukraine,UKR,2022,1996,1990s,1990
United Arab Emirates,ARE,2022,1992,1990s,1990
United Kingdom,GBR,2022,1982,1980s,1980
United States,USA,2022,1979,1970s,1970
Uruguay,URY,2022,1978,1970s,1970
Uzbekistan,UZB,2022,1995,1990s,1990
Vanuatu,VUT,2022,1989,1980s,1980
Venezuela,VEN,2022,1989,1980s,1980
Vietnam,VNM,2022,1997,1990s,1990
Wallis and Futuna,WLF,2022,1972,1970s,1970
Yemen,YEM,2022,1999,1990s,1990
Zambia,ZMB,2022,1995,1990s,1990
Zimbabwe,ZWE,2022,1991,1990s,1990
